"2023-11-20T15:28:52.538800-0300","10.11.7.120",54179,"45.154.98.21",80,"alert",2,"ET POLICY curl User-Agent Outbound"
"2023-11-20T15:29:49.199095-0300","10.11.7.120",54187,"45.154.98.21",80,"alert",2,"ET HUNTING curl User-Agent to Dotted Quad"
"2023-11-20T15:29:49.199095-0300","10.11.7.120",54187,"45.154.98.21",80,"alert",2,"ET INFO Executable Download from dotted-quad Host"
"2023-11-20T15:29:49.199095-0300","10.11.7.120",54187,"45.154.98.21",80,"alert",2,"ET MALWARE Terse alphanumeric executable downloader high likelihood of being hostile"
"2023-11-20T15:29:49.199095-0300","10.11.7.120",54187,"45.154.98.21",80,"alert",2,"ET POLICY curl User-Agent Outbound"
"2023-11-20T15:29:49.524823-0300","45.154.98.21",80,"10.11.7.120",54187,"alert",1,"ET POLICY PE EXE or DLL Windows file download HTTP"
"2023-11-20T15:29:49.524823-0300","45.154.98.21",80,"10.11.7.120",54187,"alert",2,"ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response"
"2023-11-20T15:29:50.907276-0300","10.11.7.120",54188,"45.154.98.21",80,"alert",2,"ET HUNTING curl User-Agent to Dotted Quad"
"2023-11-20T15:29:50.907276-0300","10.11.7.120",54188,"45.154.98.21",80,"alert",2,"ET POLICY curl User-Agent Outbound"
"2023-11-20T15:30:00.736481-0300","10.11.7.120",54190,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:01.121137-0300","10.11.7.120",54192,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:05.509462-0300","10.11.7.120",54197,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:09.087361-0300","10.11.7.120",54198,"10.11.7.17",139,"alert",3,"SURICATA Applayer Detect protocol only one direction"
"2023-11-20T15:30:09.898772-0300","10.11.7.120",54199,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:14.306178-0300","10.11.7.120",54200,"188.246.224.221",2351,"alert",1,"ET MALWARE [ANY.RUN] DarkGate Check-In HTTP Header (POST)"
"2023-11-20T15:30:14.306178-0300","10.11.7.120",54200,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:18.698468-0300","10.11.7.120",54201,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:23.095148-0300","10.11.7.120",54203,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:27.503189-0300","10.11.7.120",54204,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:31.923337-0300","10.11.7.120",54205,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:36.339803-0300","10.11.7.120",54206,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:39.134383-0300","10.11.7.120",54207,"10.11.7.17",139,"alert",3,"SURICATA Applayer Detect protocol only one direction"
"2023-11-20T15:30:40.740754-0300","10.11.7.120",54208,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:45.139702-0300","10.11.7.120",54209,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:49.550572-0300","10.11.7.120",54210,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:53.951906-0300","10.11.7.120",54211,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:30:58.344150-0300","10.11.7.120",54212,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:31:02.754475-0300","10.11.7.120",54215,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:31:07.158196-0300","10.11.7.120",54216,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:31:09.196734-0300","10.11.7.120",54217,"10.11.7.17",139,"alert",3,"SURICATA Applayer Detect protocol only one direction"
"2023-11-20T15:31:11.546896-0300","10.11.7.120",54218,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:31:15.937447-0300","10.11.7.120",54220,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:31:20.349198-0300","10.11.7.120",54226,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:31:24.756797-0300","10.11.7.120",54227,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
"2023-11-20T15:31:29.152106-0300","10.11.7.120",54229,"188.246.224.221",2351,"alert",1,"ET MALWARE Darkgate Stealer CnC Checkin (POST) M2"
